,Name,last-zeros,inter_max,nb_peaks,inter_mean,inter_std,inter_rel,mass_center,mass_center_sqr,mass_moment,r_moment,log_total_usage,Label
3444,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08a/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/20072002/ALLSTREAMS.DST,3,11,14,2.4615384615384617,2.619905594757908,1.0643366478704,58,9371003,168607,62,7.893198869544609,0
3445,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08a/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/21163020/ALLSTREAMS.DST,8,10,7,4.333333333333333,2.9814239699997196,0.6880209161537815,59,4200420,65700,56,7.063903961472068,0
3446,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08a/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/22104112/ALLSTREAMS.DST,21,9,3,8.0,1.0,0.125,49,1110463,19674,44,6.100318952020064,0
3447,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08a/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/23513202/ALLSTREAMS.DST,12,12,5,5.75,4.866980583482946,0.846431405823121,51,3577105,85084,64,7.1808311990445555,1
3448,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08a/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/23960000/ALLSTREAMS.DST,19,9,7,3.1666666666666665,2.852873794770615,0.9009075141380889,49,1856336,42650,57,6.616065185132817,0
3449,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08a/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/25103008/ALLSTREAMS.DST,20,11,5,4.0,4.123105625617661,1.0307764064044151,54,424984,4648,33,4.948759890378168,1
3450,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08a/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/25103010/ALLSTREAMS.DST,20,5,2,5.0,0.0,0.0,58,368100,612,5,4.6913478822291435,0
3451,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08a/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/25103013/ALLSTREAMS.DST,20,11,5,4.0,4.123105625617661,1.0307764064044151,55,644780,5955,28,5.337538079701318,1
3452,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08a/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/25113000/ALLSTREAMS.DST,34,0,1,0.0,0.0,0.0,46,40204,0,0,2.995732273553991,1
3453,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08a/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/25113001/ALLSTREAMS.DST,34,0,1,0.0,0.0,0.0,46,40204,0,0,2.995732273553991,1
3454,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08a/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/27163001/ALLSTREAMS.DST,2,10,6,6.6,2.1540659228538015,0.32637362467481845,67,3224687,86608,124,6.54534966033442,0
