,Name,last-zeros,inter_max,nb_peaks,inter_mean,inter_std,inter_rel,mass_center,mass_center_sqr,mass_moment,r_moment,log_total_usage,Label,Target
1703,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/11164442/ALLSTREAMS.DST,13,1,2,1.0,0.0,0.0,92,84825,1,0,2.3978952727983707,1,0.0
1704,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/11164443/ALLSTREAMS.DST,14,0,1,0.0,0.0,0.0,92,76176,0,0,2.302585092994046,1,0.0
1705,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/11164445/ALLSTREAMS.DST,14,0,1,0.0,0.0,0.0,92,84640,0,0,2.3978952727983707,1,0.0
1706,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/11164447/ALLSTREAMS.DST,14,0,1,0.0,0.0,0.0,92,76176,0,0,2.302585092994046,1,0.0
1707,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/11164461/ALLSTREAMS.DST,14,0,1,0.0,0.0,0.0,92,143888,0,0,2.8903717578961645,1,0.0
1708,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12103007/ALLSTREAMS.DST,16,2,3,1.5,0.5,0.3333333333333333,88,731290,186,2,4.543294782270004,1,0.0
1709,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12103008/ALLSTREAMS.DST,18,0,1,0.0,0.0,0.0,88,123904,0,0,2.833213344056216,1,0.0
1710,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12103022/ALLSTREAMS.DST,8,0,1,0.0,0.0,0.0,98,288120,0,0,3.4339872044851463,1,0.0
1711,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12103101/ALLSTREAMS.DST,15,5,5,2.75,1.7853571071357126,0.6492207662311682,86,6335019,13503,16,6.736966958001855,0,2.3846153846153846
1712,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12103121/ALLSTREAMS.DST,5,0,1,0.0,0.0,0.0,101,306030,0,0,3.4339872044851463,0,2.3076923076923075
1713,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12105401/ALLSTREAMS.DST,14,5,4,3.3333333333333335,1.247219128924647,0.3741657386773941,86,1722048,3252,14,5.44673737166631,1,0.0
1714,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12105411/ALLSTREAMS.DST,14,1,2,1.0,0.0,0.0,91,502350,30,0,4.110873864173311,1,0.0
1715,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12143020/ALLSTREAMS.DST,10,0,1,0.0,0.0,0.0,96,276480,0,0,3.4339872044851463,0,1.5
1716,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12143401/ALLSTREAMS.DST,4,0,1,0.0,0.0,0.0,102,3370896,0,0,5.783825182329737,0,12.538461538461538
1717,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12145020/ALLSTREAMS.DST,7,6,11,2.0,1.4832396974191326,0.7416198487095663,92,3459049,20641,50,6.0063531596017325,0,8.115384615384615
